dishName,cuisine,dishId
mexican rice,mexican,1116
mexican rice,mexican,1117
mixed vegetable curry,north indian,1118
paneer jalfrezi,east indian|bengal,1119
stuffed vegetable kulcha,north indian|punjab,1120
makki mooli methi paratha,north indian|punjab,1121
mooli ka paratha,north indian|punjab,1122
mooli ka paratha,north indian|punjab,1123
motichoor ladoo,north indian,1124
motichoor ladoo,north indian,1125
motichoor ladoo,north indian,1126
mozzarella sticks,french,1127
mozzarella sticks,french,1128
mozzarella sticks,french,1129
portobello mushroom burger,ireland,1130
mushroom burgers,american,1131
"mushroom, onion & swiss burger",american,1132
skillet chili mac with cheese,american,1134
mushroom and black bean chilli,east asian,1135
mushroom arugula pizza,italian,1136
caramelized mushrooms arugula pizza,italian,1137
portobello mushroom pizzas,italian,1138
mutton biriyani,south indian|andhra pradesh,1139
mutton biriyani,south indian|andhra pradesh,1140
mutton biriyani,south indian|andhra pradesh,1141
mutton liver masala,south indian|andhra pradesh,1142
loaded nachos,mexican,1143
lentil nachos,mexican,1144
lentil nachos,mexican,1145
neer dosa,south indian|mangalore,1146
neer dosa,south indian|mangalore,1147
neer dosa,south indian|mangalore,1148
gyeran mari,korean,1152
omelette,french,1153
omelette,french,1154
onion parathas,north indian|punjab,1155
onion paratha,north indian|punjab,1156
aloo paratha,north indian|punjab,750
aloo paratha,north indian|punjab,751
aloo paratha,north indian|punjab,752
aloo paratha,north indian|punjab,1157
cheesy palak paneer paratha,north indian|punjab,1161
palak paratha,north indian|punjab,1162
palak paratha,north indian|punjab,1163
pancake,americ,1164
pancake,americ,1165
pancake,americ,1166
singapore style noodles with paneer,singapore,1171
paneer paratha,north indian|punjab,1173
paneer paratha,north indian|punjab,1174
paneer paratha,north indian|punjab,1175
puri,north indian,922
puri,north indian,1176
paniyaram,south indian|tamil nadu,1179
masala paniyaram,south indian|tamil nadu,1180
kuzhi paniyaram,south indian|tamil nadu,1181
jain pav bhaji,west indian|maharashtra,1186
broccoli pesto pasta,italian,1188
arugula pesto pasta,italian,1189
creamy pesto pasta,italian,1190
pesto zucchini spaghetti,italian,1191
spaghetti with pesto,italian,1192
pesto spaghetti,italian,1193
pizza,italian,552
pizza,italian,1194
pizza,italian,1195
meatball pizza,italian,1196
poha,west indian|maharashtra,1197
poha,west indian|maharashtra,1198
poha,west indian|maharashtra,1199
poori,north indian,1200
poori,north indian,1201
poori,north indian,1202
popcorn,american,1203
popcorn,american,1205
spiced popcorn,american,1204
lasagna,italian,1206
lasagna,italian,1208
lasagna,italian,1336
lasagna,italian,1337
lasagna roll ups,italian,1207
pork tacos,mexican,1209
pulled pork tacos,mexican,1210
bbq pulled pork tacos,mexican,1211
mashed potatoes,england,1212
potato wedges,american,1215
potato wedges,american,1216
potato wedges,american,1217
vietnamese prawn soup,vietnam,1223
garlic pudina paratha,north indian|punjab,1227
pudina paratha,north indian|punjab,1228
pudina lachha paratha,north indian|punjab,1229
puran poli,west indian|maharastrian,1230
puran poli,west indian|maharastrian,1231
puran poli,west indian|maharastrian,1232
ragi balls,south indian|karnataka,1233
ragi balls,south indian|karnataka,1234
nachani bhakari,west indian|maharashtra,1235
ragi dosa,south indian|karnataka,1236
ragi dosa,south indian|karnataka,1237
ragi dosa,south indian|karnataka,1238
ragi roti,south indian|karnataka,1239
ragi roti,south indian|karnataka,1240
ragi roti,south indian|karnataka,1241
rajma chawal,north indian|punjab,1242
rajma chawal,north indian|punjab,1243
rajma chawal,north indian|punjab,1244
rasgulas,east indian|bengal,1245
rasgulas,east indian|bengal,1246
rava dosa,south indian|karnataka,1247
rava dosa,south indian|karnataka,1248
rava dosa,south indian|karnataka,1249
rava idli,south indian|karnataka,1250
rava idli,south indian|karnataka,1251
rava idli,south indian|karnataka,1252
nettle ravioli,italian,1253
toasted ravioli,italian,1254
fried ravioli,italian,1255
red sauce pasta,italian,1256
red sauce pasta,italian,1258
red brie pasta sauce,italian,1257
red velvet cake,american,1259
red velvet cake,american,1260
red velvet cake,american,1261
steamed rice,south indian,1262
steamed rice,south indian,1263
persian steamed white rice,middle east,1264
rumali roti,south indian|hyderabad,1265
rumali roti,south indian|hyderabad,1266
spicy mutton gravy,east indian|bengal,1267
set dosa,south indian|tamil nadu,1269
set dosa,south indian|tamil nadu,1270
masala dosa,south indian|tamil nadu,1271
sev puri and papdi chat,north indian|rajasthan,1272
peanut butter cookies,american,1273
pork tenderloin with apple jicama slaw,mexican,1274
spinach sandwich,american,1275
"tomato, hummus, and spinach sandwich",american,1276
cheesy ham and spinach sandwiches,american,1277
brussels sprouts salad,american,1278
brussels sprouts salad,american,1279
brussels sprouts salad,american,1280
vegetable stir-fry,chinese,1281
vegetable stir-fry,chinese,1282
vegetable stir-fry,chinese,1283
strawberry milkshake,american,1284
strawberry milkshake,american,1285
strawberry milkshake,american,1286
stuffed mushrooms,italian,1287
stuffed mushrooms,italian,1288
sausage stuffed mushrooms,italian,1289
sugarcane juice,south indian,1290
sugarcane pongal,south indian|tamil nadu,1291
sugarcane shrimp,vietnamese,1292
sushi,japanese,1293
sushi,japanese,1294
sushi,japanese,1295
tandoori roti,north indian|punjab,1296
tandoori roti,north indian|punjab,1297
tandoori roti,north indian|punjab,1298
tawa pulao,west indian|maharashtra,1299
tawa pulao,west indian|maharashtra,1300
tawa pulao,west indian|maharashtra,1301
thepla,north indian|gujarat,1302
thepla,north indian|gujarat,1303
methi thepla,north indian|gujarat,1304
tiramisu,italian,1305
tiramisu,italian,1306
tiramisu,italian,1307
tuna sandwiches,american,1308
tuna sandwich,american,1309
tuna sandwich,american,1310
upma,south indian|karnataka,1312
vegetable upma,south indian|karnataka,1313
pesarattu,south indian|andhra pradesh,506
pesarattu,south indian|andhra pradesh,1314
medu vada,south indian|karnataka,1315
medhu vada,south indian|karnataka,1316
vada pav,west indian|maharastra,1317
vada pav,west indian|maharastra,1318
vada pav,west indian|maharastra,1319
vada pav,west indian|maharastra,1320
vangi bath,south indian|karnataka,1321
vangi bath,south indian|karnataka,1322
vangi bath,south indian|karnataka,1323
veg cheese burger,american,1324
bourbon burger,american,1325
juicy steakhouse burgers,american,1326
black bean and guac burritos,mexican,1327
shredded chicken burritos,mexican,1328
cheeseburger burritos,mexican,1329
crock pot chicken fajitas,mexican,1330
chicken fajitas,mexican,1331
chicken fajitas,mexican,1332
fried rice,chinese,1333
fried rice,chinese,1335
veg fried rice,chinese,1334
lasagna stuffed meatloaf,italian,1338
veg manchurian,chinese,1339
veg manchurian,chinese,1340
veg manchurian,chinese,1341
veg momos,chinese,1342
veg momos,chinese,1343
veg momos,chinese,1344
spicy veg noodles,chinese,1345
veg hakka noodles,chinese,1346
veg hakka noodles,chinese,1347
chicken quesadilla,mexican,1351
chicken quesadillas,mexican,1352
chicken quesadillas,mexican,1353
grilled chicken sandwich with avocado and tomato,american,1354
chicken salad sandwiches,american,1355
cheese steak sandwiches,american,1356
pork schnitzel,austrian,1357
pork schnitzel,austrian,1358
pork schnitzel,austrian,1359
veg spring roll,chinese,1360
veg spring roll,chinese,1361
veg spring roll,chinese,1362
spicy ethiopian lentil stew,ethiopian,1364
shredded chicken tacos,mexican,1366
tacos with roasted pineapple salsa,mexican,1367
spicy chicken tacos,mexican,1368
hummus wraps,middle east,1369
chicken caesar salad wraps,mexican,1370
chicken parmesan wraps,italian,1371
waffles,american,1372
waffles,american,1373
waffles,american,1374
white sauce for pasta,italian,1378
white sauce for pasta,italian,1379
white sauce recipe for pasta,italian,1380
rice,south indian,1381
