dishId,tags
221,chili|cinnamon|coriander|cumin|curry|dessert|egg|ginger|masala|oil|onion|peas|potato|salt|samosa|snack|tomato|turmeric
222,cheese|coconut|cream|curry|juice|lemon|masala|oil|salt|sugar|sweetdish
223,cucumber|salt|yogurt
224,chicken|juice|masala|salt|tandoori|yogurt|northindian|punjab
225,bouillon|broth|cardamom|carrot|chicken|chili|coriander|cream|flour|ginger|lamb|mushroom|nutmeg|onion|potato|salt|sourcream|tomato
226,aamchur|chili|condiment|coriander|cumin|dessert|ghee|ginger|mango|potato|salt
227,carrot|clove|cream|garlic|juice|oil|olive|oliveoil|onion|salt|soup|sugar|tomato|vinegar
228,bayleaf|beverage|chana|chickpea|chili|cinnamon|clove|coconut|coriander|curry|garlic|ginger|juice|milk|oil|onion|salt|tomato|turmeric|northindian|punjab
229,beverage|biryani|cardamom|cinnamon|clove|garlic|ginger|juice|lamb|lemon|milk|oil|onion|rice|saffron|salt|tomato|yogurt
230,chicken|chili|cinnamon|clove|curry|garlic|masala|onion|rice
231,bellpepper|corn|cream|curry|masala|onion|salt|sourcream
232,carrot|cauliflower|chili|clove|cumin|curry|garlic|masala|oil|olive|oliveoil|onion|potato|tomato|turmeric
233,cardamom|chicken|cinnamon|clove|coriander|cream|curry|dessert|fenugreek|garlic|ginger|juice|lemon|masala|oil|onion|pepper|salt|sugar
234,celery|curry|grape|juice|lime|masala|onion|rice|salad|salt|tofu|walnut|yogurt
235,chicken|chickpea|chili|clove|coriander|cumin|curry|garlic|masala|mustard|oil|onion|salt|tomato|turmeric|northindian|punjab
236,beverage|honey|milk|sugar|tea
237,beef|cardamom|chili|coriander|cumin|curry|garlic|ginger|juice|lamb|lemon|oil|onion|salt|stew|turmeric|yogurt|northindian|kashmir
238,bellpepper|chickpea|clove|curry|garlic|masala|oil|onion|salt|tofu|tomato
239,chicken|curry|flour|juice|lamb|lemon|masala|onion|raisin|salt|stew|sugar|northindian|kashmir
240,beverage|lassi|salt|sugar|yogurt
241,coriander|eggplant|ghee|onion|tomato
242,celery|chicken|clove|cream|curry|fennel|fish|garlic|lemon|masala|mushroom|onion|parsley|saffron|salmon|salt
243,chili|clove|coriander|cumin|dal|garlic|ghee|ginger|lentil|onion|salt|turmeric|northindian
244,biryani|cardamom|chicken|chili|cinnamon|clove|garlic|ginger|juice|lemon|oil|onion|rice|salt|tomato|yogurt|northindian
245,beverage|lassi|mango|salt|sugar|yogurt|northindian|punjab
246,beverage|cardamom|clove|milk|pepper|sugar|tea
247,bean|biryani|broccoli|cardamom|carrot|cashew|cauliflower|cinnamon|clove|dessert|garlic|ginger|oil|onion|peas|potato|quinoa|turmeric|northindian|punjab
248,cumin|curry|dessert|masala|oil|okra|olive|oliveoil|onion|salt|tomato|northindian
249,clove|coriander|cumin|curry|garlic|lamb|masala|oil|onion|salt|stew|tomato|turmeric|northindian|kashmir
250,chicken|chilli|clove|curry|dessert|garlic|ginger|juice|lemon|oil|olive|oliveoil|salt|tomato|yogurt|northindian
251,clove|cumin|curry|fish|garlic|ginger|mustard|oil|olive|oliveoil|onion|salmon|tomato
252,bayleaf|curry|fish|masala|onion|peas|rice|salt|yogurt|northindian
253,almond|chicken|clove|cream|dessert|garlic|ginger|jalapeno|juice|kebab|lemon|salt
254,chili|cod|coriander|cumin|fillets|fish|garlic|ginger|juice|lemon|masala|oil|olive|oliveoil|onion|salt|soy|tomato|turmeric|vinegar|yogurt
255,chilli|coriander|cream|cumin|curry|garlic|ginger|masala|oil|olive|oliveoil|onion|paneer|sauce|tomato|turmeric
256,aamchur|asafoetida|chili|clove|condiment|cumin|garlic|mustard|oil|okra|onion|salt|tomato|turmeric
257,cauliflower|clove|coriander|cumin|garlic|ginger|masala|oil|onion|potato|salt|sugar|tomato|turmeric|northindian|punjab
258,chili|clove|coriander|curry|dessert|garlic|ginger|goat|oil|onion|papper|pepper|salt|stew|tomato|turmeric|northindian|kashmir
259,beverage|cheese|clove|cottagecheese|curry|dessert|garlic|ghee|ginger|kale|masala|milk|nutmeg|onion|salt|spinach|northindian|punjab
260,beverage|cardamom|chickpea|flour|ghee|milk|sugar|sweetdish
261,beef|chili|cinnamon|clove|coriander|cumin|dessert|garlic|ginger|oil|onion|pepper|salt|sauce|tomato|american
262,almond|chili|clove|cumin|curry|garlic|ginger|lamb|masala|oil|onion|raisin|rice|stew|toast|yogurt|northindian|kashmir
